OYear,PID,WeightedAverage
2013,92,0.05
2013,93,15.4039936947085
2013,94,0.08111968826628468
2013,96,0.01975
2013,105,0.14707620835288598
2013,110,0.007245876933575979
2013,127,0.03000567290686422
2013,128,0.03125
2013,130,0.0338
2013,136,0.03571428571428571
2013,139,0.02035912194542979
2013,141,0.06766666666666667
2013,142,0.43000000000000005
2013,143,0.07333333333333333
2013,144,0.04588888888888889
2013,562,1.2589755574253259
2013,566,0.024222222222222225
2013,567,0.03577777777777778
2013,583,2.4957056703976486
2013,591,1.3917704041866164
2013,593,0.1685
2013,612,0.03125
2013,622,1.6352928891098955
2013,623,0.6407481331565357
2013,636,0.02011904761904762
2013,639,0.26969082565941205
2013,640,0.32241909030595717
2013,641,1.0
2013,646,0.03421372588208164
2013,672,0.11177777777777778
2013,673,0.07166666666666667
2013,676,0.15184375260785501
2013,677,1.347453956469208
2013,678,0.928189595118629
2013,679,1.95
2013,689,0.14527046585255537
2013,696,0.15714285714285717
2013,697,59.86
2013,700,1.0589
2013,708,0.026218607436369598
2013,709,0.017801817156915006
2013,809,0.02411111111111111
2013,810,0.030000000000000002
2013,811,0.02011111111111111
2013,813,0.16583333333333333
2013,818,6.9
2013,819,0.626750909090909
2014,9,0.06286641220238096
2014,11,0.0469479848072398
2014,13,0.02999309632120748
2014,15,0.03430059523809524
2014,17,0.03313988095238095
2014,19,0.03447300264271144
2014,21,0.02011904761904762
2014,23,0.020867361817419133
2014,33,0.017499999999999998
2014,39,1.3885261095982036
2014,40,0.9545292342799189
2014,41,0.4329338688236769
2014,42,5.235987315138871
2014,43,0.02547619047619048
2014,56,0.00897593880916725
2014,60,0.04784717898504238
2014,61,0.10908190129984578
2014,68,0.043
2014,84,0.7919918166252211
2014,92,0.057999999999999996
2014,93,12.884973803843177
2014,94,0.07500351016395473
2014,96,0.01975
2014,110,0.00725
2014,127,0.034410758837708805
2014,128,0.03125
2014,130,0.0338
2014,136,0.03571428571428571
2014,139,0.021162655372449223
2014,141,0.066
2014,142,0.41
2014,143,0.07226070638605406
2014,144,0.04332862693208976
2014,562,1.2583650927766732
2014,566,0.017777777777777778
2014,567,0.029333333333333336
2014,583,2.420213193800931
2014,584,0.027777777777777776
2014,591,1.3703951968384254
2014,612,0.03125
2014,622,1.618780763790665
2014,623,0.64
2014,636,0.02011904761904762
2014,639,0.47829422935555016
2014,640,0.28560051316532076
2014,641,0.7712895377128954
2014,646,0.034417729852576906
2014,672,0.11177777777777778
2014,673,0.08055555555555556
2014,676,0.15241044986294766
2014,677,1.15
2014,678,0.7454339144078428
2014,689,0.13956946778711488
2014,697,9.133792774292406
2014,698,37.0
2014,700,1.0539374103435257
2014,708,0.026151821399205157
2014,709,0.017804974039153244
2014,809,0.02411111111111111
2014,810,0.030000000000000002
2014,811,0.03333333333333333
2014,812,0.0725
2014,813,0.1606889983923953
2014,815,1.0
2014,818,6.9
2014,819,0.6306937529804482
2014,836,0.027777777777777776
2014,839,1.0
2014,840,0.16056792452830188
2014,841,0.22899999999999998
2014,843,0.07162124705926286
2014,844,0.1292857142857143
2014,845,0.6451
2014,846,0.135
2014,848,0.076
2014,850,8.917769975889346
2014,871,0.037375000000000005
2014,872,0.049875
2015,9,0.060545367429387986
2015,11,0.047365590742300324
2015,13,0.028691642308920382
2015,15,0.03486607142857143
2015,17,0.04081845238095238
2015,19,0.02990871941193539
2015,21,0.018988772698488764
2015,23,0.02073255832714834
2015,33,0.015835259391943298
2015,39,1.3333333333333333
2015,40,1.408212492431887
2015,41,0.3179198267898383
2015,42,4.72505874968499
2015,43,0.023335186901451963
2015,56,0.009821213703478084
2015,60,0.04443495904924897
2015,61,0.09338924865540284
2015,84,0.6360885384202821
2015,93,12.755545608463267
2015,94,0.0685211303113317
2015,110,0.00725
2015,127,0.03285746985613377
2015,128,0.03125
2015,130,0.0338
2015,136,0.03571428571428571
2015,139,0.021113237740151006
2015,141,0.06155555555555556
2015,142,0.27
2015,143,0.06744444444444445
2015,144,0.03988888888888889
2015,562,1.2671999999999999
2015,566,0.017777777777777778
2015,567,0.026444444444444444
2015,583,2.5140353752456615
2015,584,0.027777777777777776
2015,591,1.37
2015,612,0.03125
2015,623,0.64
2015,636,0.01901263036206218
2015,639,0.26803867220466315
2015,646,0.0332900069927302
2015,672,0.11177777777777778
2015,673,0.1111111111111111
2015,676,0.15620071326333007
2015,677,1.570174210482959
2015,678,0.6860522763341556
2015,689,0.13806128393335665
2015,697,10.64
2015,698,1.379
2015,700,0.8995760031164785
2015,708,0.02630952380952381
2015,709,0.018193099077289762
2015,809,0.018000000000000002
2015,810,0.022222222222222223
2015,811,0.03333333333333333
2015,812,0.1
2015,813,0.1575
2015,815,1.0
2015,818,6.223183982815572
2015,819,0.6335999999999999
2015,836,0.027777777777777776
2015,840,0.1486172109443954
2015,841,0.22988797108931333
2015,843,0.07061084557125705
2015,844,0.1292857142857143
2015,845,0.5202274264897215
2015,850,7.21032784170875
2015,871,2.9899999999999998
2015,872,3.9899999999999998
2015,890,0.0097
2015,891,0.085
2015,892,0.047
2015,897,0.8503000000000001
2015,904,6.48997146254459
2015,912,0.5
2015,914,0.31
2016,9,0.059676233719015925
2016,11,0.047917612867756726
2016,13,0.02816789790952761
2016,15,0.03486607142857143
2016,17,0.04081845238095238
2016,19,0.029839609936153234
2016,21,0.01898838476719901
2016,23,0.019920745904810522
2016,33,0.015833333333333335
2016,39,1.3333333333333333
2016,40,1.9926810715854193
2016,41,0.2581367937372362
2016,42,4.103741478983347
2016,43,0.023333333333333334
2016,56,0.009929211210948603
2016,60,0.037608107753574586
2016,61,0.0559060702451955
2016,68,0.017250359017679358
2016,84,0.463036135122467
2016,93,15.084330357142857
2016,94,0.06734759156017531
2016,110,0.00725
2016,127,0.03139380074208481
2016,128,0.03125
2016,136,0.03571428571428571
2016,139,0.020757593016438144
2016,141,0.06155555555555556
2016,142,0.27
2016,143,0.06744444444444445
2016,144,0.03988888888888889
2016,562,1.135655459960291
2016,566,0.017777777777777778
2016,567,0.026444444444444444
2016,583,2.4339449901629138
2016,584,0.027777777777777776
2016,591,1.3602374979829541
2016,612,0.03136904761904762
2016,623,0.64
2016,636,0.018991489139515455
2016,639,0.202744180101299
2016,646,0.03151924040716743
2016,672,0.11177777777777778
2016,673,0.1111111111111111
2016,676,0.09412498780362552
2016,677,1.6071853178713933
2016,678,0.6900000000000001
2016,689,0.13770858524788393
2016,698,1.4388179823224625
2016,700,0.6695713124497993
2016,707,0.11666666666666667
2016,708,0.02630952380952381
2016,709,0.018214285714285714
2016,809,0.018000000000000002
2016,810,0.022222222222222223
2016,812,0.1
2016,813,0.14658019515662613
2016,818,5.757492221069788
2016,819,0.5835969714618521
2016,836,0.027777777777777776
2016,840,0.13776394663357122
2016,843,0.07067801672640384
2016,845,0.40152265354221545
2016,850,8.088999739839606
2016,871,2.9899999999999998
2016,872,3.9899999999999998
2016,891,0.085
2016,892,0.047
2016,897,0.8503000000000001
2016,904,3.5276434139516293
2016,912,0.5
2016,976,0.03513322909203618
2016,977,0.028707278586091522
2016,982,2.5297619047619047
2016,986,0.14495741096082743
2016,987,0.027000000000000003
2016,988,0.0217
2016,994,0.11109999999999999
2016,995,0.1
2016,996,0.85
2016,999,0.0256
2016,1034,0.00725
2017,9,0.06072637397306137
2017,11,0.048828375418154504
2017,13,0.02888210600775194
2017,15,0.034949725359481584
2017,19,0.029919623293132365
2017,21,0.019787329087365774
2017,23,0.020562543321478777
2017,39,1.3333333333333333
2017,40,2.196820822780141
2017,41,0.2736021983101957
2017,42,3.859816083455851
2017,56,0.010919272999773806
2017,60,0.03346021901717572
2017,61,0.06136939966872702
2017,68,0.017283252330491595
2017,84,0.386
2017,93,13.5
2017,94,0.06544045854997732
2017,110,0.00725
2017,127,0.038244047619047615
2017,128,0.03125
2017,139,0.02034543325526932
2017,141,0.06155555555555556
2017,562,0.996019114466075
2017,566,0.017777777777777778
2017,567,0.026444444444444444
2017,583,2.360423307182573
2017,584,0.027777777777777776
2017,591,1.3502182424229363
2017,612,0.0324215963091918
2017,623,0.64
2017,636,0.018988095238095238
2017,639,0.1983323698147595
2017,646,0.03302332029066518
2017,672,0.11177777777777778
2017,673,0.1111111111111111
2017,676,0.0883322230709814
2017,677,1.1631577595066802
2017,678,0.635
2017,698,1.3916877298725658
2017,700,0.618497137014315
2017,707,0.11666666666666667
2017,809,0.018000000000000002
2017,810,0.022222222222222223
2017,813,0.14083333333333334
2017,818,5.4799999999999995
2017,819,0.5233017341040461
2017,840,0.1328151919866444
2017,843,0.07025
2017,845,0.32704229248354233
2017,846,0.11740031274433149
2017,850,7.00809602620758
2017,871,2.9899999999999998
2017,872,3.9899999999999998
2017,891,0.1797
2017,892,0.04995082118614066
2017,897,0.8529729613733905
2017,904,3.5446851031063367
2017,912,0.5
2017,976,0.03605013846821621
2017,977,0.02958874375526098
2017,978,0.55
2017,982,2.5297619047619047
2017,984,0.16299999999999998
2017,986,0.13996045691842965
2017,987,0.027000000000000003
2017,988,0.0217
2017,994,0.055549999999999995
2017,995,0.1
2017,996,0.85
2017,999,0.0128
2017,1000,4.1
2017,1001,1.0
2017,1037,0.013999999999999999
2017,1038,0.033
2018,9,0.06424360233957191
2018,11,0.051799176940452
2018,13,0.030784795259485683
2018,15,0.03498511904761905
2018,17,0.044642857142857144
2018,19,0.030023692584639154
2018,21,0.020040818941973404
2018,23,0.020813429408049602
2018,39,1.3333333333333335
2018,40,1.753309184388876
2018,41,0.2696245260882989
2018,42,3.5749194620077853
2018,56,0.011518901417905385
2018,60,0.031612586655809016
2018,61,0.055717683956574185
2018,94,0.07506169803605175
2018,562,0.9823999999999999
2018,583,2.3537505073388463
2018,591,1.33934385985819
2018,612,0.02315653933599609
2018,623,0.64
2018,646,0.03628700097923127
2018,676,0.08661294830695251
2018,677,1.24
2018,678,0.692587748784963
2018,698,1.374627494339423
2018,700,0.6184574712643679
2018,707,0.11666666666666667
2018,813,0.14083333333333334
2018,818,5.4799999999999995
2018,819,0.49119999999999997
2018,840,0.10812591421229494
2018,845,0.2941212156442058
2018,846,0.1051440628637951
2018,850,4.2675884096692265
2018,891,0.1909787210276459
2018,892,0.05297555212214851
2018,897,0.9032304460805545
2018,904,3.503658936177959
2018,976,0.03896313117391256
2018,977,0.03212398746368994
2018,982,2.5297619047619047
2018,988,0.0217
2018,1000,3.728059082151855
2018,1001,0.625
2018,1037,0.013999999999999999
2018,1038,0.033
2018,1056,0.425
2018,1057,0.85
2018,1059,0.85
2018,1061,0.2125
2018,1063,0.013600000000000001
2018,1064,0.2125
2018,1069,1.3566854949670504
